date,strategy_value,benchmark_value,strategy_norm,benchmark_norm,strategy_drawdown,benchmark_drawdown
2023-01-01,100000.0,100000.0,1.0,1.0,0.0,0.0
2023-02-01,99905.1756851849,96909.72595452983,0.9990517568518491,0.9690972595452982,-0.0009482431481509411,-0.03090274045470171
2023-03-01,105503.09580743435,95970.64637126861,1.0550309580743436,0.9597064637126861,0.0,-0.04029353628731391
2023-04-01,105725.1822962889,95819.495549438,1.0572518229628889,0.9581949554943799,0.0,-0.041805044505620025
2023-05-01,111112.58518754401,100117.14898252519,1.11112585187544,1.001171489825252,0.0,0.0
2023-06-01,117916.92926153459,103757.49354374927,1.1791692926153459,1.0375749354374926,0.0,0.0
2023-07-01,123147.22197698892,108068.45067116877,1.2314722197698893,1.0806845067116877,0.0,0.0
2023-08-01,124795.29113944015,111113.79282206183,1.2479529113944015,1.1111379282206184,0.0,0.0
2023-09-01,126339.1436104554,111008.2706664858,1.263391436104554,1.110082706664858,0.0,-0.0009496764793639976
2023-10-01,127838.08224838367,113715.77492531204,1.2783808224838367,1.1371577492531204,0.0,0.0
2023-11-01,126348.54001625138,111276.83908490061,1.2634854001625138,1.112768390849006,-0.01165178799567855,-0.021447647364785695
2023-12-01,138606.3800832755,120848.22491860276,1.3860638008327548,1.2084822491860276,0.0,0.0
2024-01-01,148271.84440825673,130578.42839137219,1.4827184440825674,1.305784283913722,0.0,0.0
