Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
1996-01-02,3.005685567855835,3.031375090095795,3.005685567855835,3.0570646123357545,9600
1996-01-03,3.0024752616882324,3.0024752616882324,3.0024752616882324,3.0024752616882324,4800
1996-01-04,3.0185303688049316,3.0185303688049316,2.973573628603895,3.0024744531605023,4800
1996-01-05,3.0185303688049316,3.0185303688049316,3.0185303688049316,3.0185303688049316,0
1996-01-08,2.9414610862731934,2.9864181140945045,2.9414610862731934,3.018529940830471,4800
1996-01-09,2.9549484252929688,2.9549484252929688,2.8515479547035794,2.864392569314097,43200
1996-01-10,2.9799957275390625,2.9799957275390625,2.954306205506709,2.954306205506709,3340800
1996-01-11,2.9414610862731934,2.9543059933641893,2.8515476186192688,2.9799955135518323,19200
1996-01-12,2.9414610862731934,2.9414610862731934,2.9414610862731934,2.9414610862731934,0
1996-01-15,2.9414610862731934,2.9414610862731934,2.9414610862731934,2.9414610862731934,0
1996-01-16,3.0185303688049316,3.0185303688049316,2.9543064122328238,3.0185303688049316,9600
1996-01-17,3.0185303688049316,3.0185303688049316,3.0185303688049316,3.0185303688049316,0
1996-01-18,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,2400
1996-01-19,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,0
1996-01-22,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,0
1996-01-23,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,0
1996-01-24,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,0
1996-01-25,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,2400
1996-01-26,2.8258590698242188,2.8258590698242188,2.8258590698242188,2.8258590698242188,0
1996-01-29,2.866962432861328,2.8772381268673795,2.858612990489737,2.825858774853774,21600
1996-01-30,2.8900835514068604,2.8900835514068604,2.839346274264705,2.866962941794506,40800
1996-01-31,2.8900835514068604,2.8900835514068604,2.8900835514068604,2.8900835514068604,0
