Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2006-04-21,170.0602264404297,173.39474343458204,166.8914001672953,172.83553549787973,1174374
2006-04-24,170.53660583496094,171.4893311204849,168.03054209569186,171.4893311204849,454835
2006-04-25,165.52444458007812,171.0336431669448,139.53180380865402,170.45373269374474,1104903
2006-04-26,170.5780029296875,171.69641881458202,162.37634722037572,165.73156682279097,1828736
2006-04-27,166.1457977294922,175.17590689407263,165.02738186420774,173.14619908287287,3143803
2006-04-28,168.05123901367188,170.24663761025903,155.7487482848942,166.31149341671883,2735463
2006-05-02,169.33534240722656,172.11065170436407,168.817567625662,170.64015168813145,846834
2006-05-03,175.92152404785156,176.21148634031397,168.58974059103198,171.07508758714212,1837153
2006-05-04,175.88011169433594,179.1524933143168,172.73200163682253,177.45416672309264,1558376
2006-05-05,174.28533935546875,177.20563690478215,173.1462207738376,177.20563690478215,927890
2006-05-08,174.78240966796875,176.21149053652434,171.90354535484707,174.28533745168266,1040814
2006-05-09,172.00709533691406,176.00437552756676,168.2376416587348,176.00437552756676,960205
2006-05-10,172.7941436767578,174.9688259680278,171.57217266255077,174.9688259680278,2016041
2006-05-11,171.77928161621094,174.38891437707642,170.51590545502506,173.104807586665,1105886
2006-05-12,171.98643493652344,172.6906172220369,168.48622608944433,171.86216334903912,854291
2006-05-15,166.8914031982422,172.21419491514408,162.79056829817253,170.66085665025764,1329571
2006-05-16,166.9949951171875,169.00398682443668,159.95315882630163,167.76131313219503,1105473
2006-05-17,172.37989807128906,174.59601341824538,165.27594107835606,165.7108775070282,1660404
2006-05-18,165.8558807373047,171.90357262220073,163.61906242228082,171.48935272265982,1896812
2006-05-19,161.6307830810547,172.0692589300124,151.25442899450871,167.76131317660034,1487750
2006-05-22,149.53538513183594,171.65502240465779,144.97889666583524,169.7495858537516,2181454
2006-05-23,153.118408203125,159.47676325573747,142.90774743424433,156.16296289666562,1714933
2006-05-24,153.42909240722656,162.37636432430796,145.62093906903505,154.09185536791935,3949613
2006-05-25,163.12197875976562,166.02155993290378,144.97890436940307,151.19228658635475,7159227
2006-05-26,160.84371948242188,164.42676575873506,157.4056473358457,163.12195651269724,1016839
2006-05-29,158.2340850830078,165.64871999965544,156.3700680543057,165.64871999965544,1127822
2006-05-30,155.16883850097656,159.47678372864462,153.2634019979389,159.06256389038518,1350449
2006-05-31,151.85499572753906,154.48533024636077,149.53534002764277,153.26335961956164,1869537
2006-06-01,143.5705108642578,156.12154432469754,141.06444749212736,153.01485384620196,2596550
2006-06-02,151.5858154296875,152.84920576810654,138.3513128238447,144.15047561200456,1866130
2006-06-05,145.9315948486328,153.26337738068523,144.27468770945708,147.0914298460558,1285987
2006-06-06,143.17697143554688,151.15081330095185,136.69434581784728,136.69434581784728,1320430
2006-06-07,146.15945434570312,149.12115723998852,138.76552034650763,141.6651014819096,2239726
2006-06-08,136.0730438232422,144.97888186973637,134.20902664221123,144.56466206334485,2757576
2006-06-09,139.3040008544922,141.66509036936003,134.64397163103794,138.724090283356,1627359
